report_id,disaster_type,location,latitude,longitude,report_timestamp,report_text
29,Landslide,"New Orleans, LA",26.2561330188762,-76.22383506406992,2024-04-05,"Landslide has blocked major roads near New Orleans, LA. Emergency crews responding."
30,Wildfire,"Miami, FL",34.083434163660854,-117.33413445239363,2024-07-18,"Wildfire spreading quickly through Miami, FL. Evacuations underway."
31,Extreme Heat,"New York, NY",33.71066252430381,-91.66592289716004,2024-09-03,"Extreme heat wave in New York, NY causing heat-related illnesses. Precautions advised."
32,Hurricane,"Seattle, WA",48.89153177690217,-73.87366907680388,2024-03-12,"Hurricane conditions intensifying at Seattle, WA. Severe winds and rainfall recorded."
33,Tornado,"Portland, OR",35.71245642874341,-91.26325934717792,2024-11-13,"Tornado sighted near Portland, OR. Extensive damage reported to homes and infrastructure."
34,Hurricane,"Seattle, WA",33.00566918733281,-71.47521052792328,2024-07-03,"Hurricane conditions intensifying at Seattle, WA. Severe winds and rainfall recorded."
35,Landslide,"Portland, OR",38.93140016120019,-69.3639548078535,2024-01-06,"Landslide has blocked major roads near Portland, OR. Emergency crews responding."
36,Tornado,"Anchorage, AK",27.130417458586443,-100.07931319112595,2024-07-24,"Tornado sighted near Anchorage, AK. Extensive damage reported to homes and infrastructure."
37,Extreme Heat,"Denver, CO",48.07997766291552,-102.7384939770269,2024-02-01,"Extreme heat wave in Denver, CO causing heat-related illnesses. Precautions advised."
38,Landslide,"Portland, OR",40.2390410941848,-69.75705191581974,2024-04-08,"Landslide has blocked major roads near Portland, OR. Emergency crews responding."
39,Earthquake,"Seattle, WA",43.11610767858035,-85.16673639216958,2024-09-12,"Earthquake felt strongly around Seattle, WA. Significant structural damage observed."
40,Wildfire,"Anchorage, AK",29.09147051617402,-118.15466180045802,2024-07-05,"Wildfire spreading quickly through Anchorage, AK. Evacuations underway."
41,Extreme Heat,"Portland, OR",34.82746847212489,-122.5047867958618,2024-03-16,"Extreme heat wave in Portland, OR causing heat-related illnesses. Precautions advised."
42,Earthquake,"Miami, FL",35.14453872150855,-91.68688599116147,2024-06-25,"Earthquake felt strongly around Miami, FL. Significant structural damage observed."
43,Volcanic Eruption,"Denver, CO",44.72335465362608,-70.11991303913294,2024-11-10,"Volcanic eruption at Denver, CO causing ashfall and air quality issues."
44,Extreme Heat,"Portland, OR",25.02968031422583,-75.1893265580567,2024-10-13,"Extreme heat wave in Portland, OR causing heat-related illnesses. Precautions advised."
45,Volcanic Eruption,"Anchorage, AK",32.22047460047812,-85.12498295860415,2024-12-14,"Volcanic eruption at Anchorage, AK causing ashfall and air quality issues."
46,Tornado,"San Francisco, CA",48.549672984263296,-116.79216491542584,2024-09-11,"Tornado sighted near San Francisco, CA. Extensive damage reported to homes and infrastructure."
47,Earthquake,"Houston, TX",36.39727704414925,-110.00034835882695,2024-11-20,"Earthquake felt strongly around Houston, TX. Significant structural damage observed."
48,Wildfire,"New Orleans, LA",34.1806307258562,-73.34483763339566,2024-07-08,"Wildfire spreading quickly through New Orleans, LA. Evacuations underway."
49,Landslide,"Houston, TX",27.875896048423513,-114.21437303724286,2024-11-03,"Landslide has blocked major roads near Houston, TX. Emergency crews responding."
50,Winter Storm,"Houston, TX",48.37995108707237,-108.57207491322436,2024-12-10,"Intense winter storm affecting Houston, TX. Heavy snowfall and travel disruptions."
51,Hurricane,"Los Angeles, CA",25.480632542219787,-117.35356157946893,2024-05-06,"Hurricane conditions intensifying at Los Angeles, CA. Severe winds and rainfall recorded."
52,Flood,"Miami, FL",42.692325400173836,-85.10961434654973,2024-10-13,"Heavy flooding reported near Miami, FL. Water level rising rapidly, roads impassable."
53,Wildfire,"San Francisco, CA",43.4463953149242,-69.30504398357064,2024-09-10,"Wildfire spreading quickly through San Francisco, CA. Evacuations underway."
54,Earthquake,"New York, NY",30.8477611855328,-109.13088613587223,2024-07-31,"Earthquake felt strongly around New York, NY. Significant structural damage observed."
55,Winter Storm,"Portland, OR",41.1174026467129,-96.95101013684565,2024-09-06,"Intense winter storm affecting Portland, OR. Heavy snowfall and travel disruptions."
56,Wildfire,"New Orleans, LA",27.230299465105357,-87.57395535703895,2024-03-24,"Wildfire spreading quickly through New Orleans, LA. Evacuations underway."
57,Earthquake,"Denver, CO",31.169134394369916,-66.03149135527778,2024-01-13,"Earthquake felt strongly around Denver, CO. Significant structural damage observed."
58,Severe Storm,"San Francisco, CA",43.90964771901436,-118.81632416514324,2024-02-14,"Severe storms hitting San Francisco, CA. Power outages and property damage widespread."
59,Severe Storm,"Seattle, WA",45.75246860880497,-95.58432282916316,2024-05-06,"Severe storms hitting Seattle, WA. Power outages and property damage widespread."
60,Volcanic Eruption,"New York, NY",39.60367390383499,-102.2779129257525,2024-04-23,"Volcanic eruption at New York, NY causing ashfall and air quality issues."
61,Wildfire,"Los Angeles, CA",37.16412236369158,-73.91661025188105,2024-10-02,"Wildfire spreading quickly through Los Angeles, CA. Evacuations underway."
62,Severe Storm,"Los Angeles, CA",28.823296494855526,-96.9179038703123,2024-07-23,"Severe storms hitting Los Angeles, CA. Power outages and property damage widespread."
63,Earthquake,"San Francisco, CA",26.514616793899606,-118.45232604947626,2024-12-02,"Earthquake felt strongly around San Francisco, CA. Significant structural damage observed."
64,Volcanic Eruption,"Anchorage, AK",27.823576683365406,-87.56897542809156,2024-09-29,"Volcanic eruption at Anchorage, AK causing ashfall and air quality issues."
65,Earthquake,"Houston, TX",30.45657520230637,-79.5239435224311,2024-02-27,"Earthquake felt strongly around Houston, TX. Significant structural damage observed."
66,Volcanic Eruption,"Seattle, WA",33.200188045526104,-124.83000615172874,2024-11-23,"Volcanic eruption at Seattle, WA causing ashfall and air quality issues."
67,Wildfire,"Los Angeles, CA",34.141828612263694,-74.32155556018286,2024-08-06,"Wildfire spreading quickly through Los Angeles, CA. Evacuations underway."
68,Winter Storm,"New Orleans, LA",33.31172244613609,-114.02464299966573,2024-04-18,"Intense winter storm affecting New Orleans, LA. Heavy snowfall and travel disruptions."
69,Landslide,"Los Angeles, CA",30.737327972734374,-92.4279074854507,2024-10-05,"Landslide has blocked major roads near Los Angeles, CA. Emergency crews responding."
70,Extreme Heat,"Denver, CO",37.233381922040756,-100.46794745944044,2024-06-22,"Extreme heat wave in Denver, CO causing heat-related illnesses. Precautions advised."
71,Winter Storm,"Portland, OR",44.806866597589526,-82.54042481997871,2024-11-23,"Intense winter storm affecting Portland, OR. Heavy snowfall and travel disruptions."
72,Tornado,"Los Angeles, CA",31.7128849233155,-103.10146472764123,2024-09-20,"Tornado sighted near Los Angeles, CA. Extensive damage reported to homes and infrastructure."
73,Earthquake,"Denver, CO",47.617288458453594,-73.68397257577907,2024-11-10,"Earthquake felt strongly around Denver, CO. Significant structural damage observed."
74,Tornado,"San Francisco, CA",45.96007988137235,-81.90071470343138,2024-04-20,"Tornado sighted near San Francisco, CA. Extensive damage reported to homes and infrastructure."
75,Winter Storm,"San Francisco, CA",28.88234107245063,-86.78492290728764,2024-07-05,"Intense winter storm affecting San Francisco, CA. Heavy snowfall and travel disruptions."
76,Volcanic Eruption,"New York, NY",43.870622962170266,-78.0218048617916,2024-09-25,"Volcanic eruption at New York, NY causing ashfall and air quality issues."
77,Extreme Heat,"Los Angeles, CA",38.7900971756264,-80.51264093922543,2024-08-16,"Extreme heat wave in Los Angeles, CA causing heat-related illnesses. Precautions advised."
78,Extreme Heat,"New Orleans, LA",38.59780869211404,-122.87961817962835,2024-06-04,"Extreme heat wave in New Orleans, LA causing heat-related illnesses. Precautions advised."
79,Flood,"Los Angeles, CA",34.38502631339618,-101.71067312315515,2024-07-07,"Heavy flooding reported near Los Angeles, CA. Water level rising rapidly, roads impassable."
80,Extreme Heat,"New Orleans, LA",37.02767198036823,-70.0823694583271,2024-09-28,"Extreme heat wave in New Orleans, LA causing heat-related illnesses. Precautions advised."
81,Landslide,"Miami, FL",34.532290658301065,-117.58226812945865,2024-01-02,"Landslide has blocked major roads near Miami, FL. Emergency crews responding."
82,Extreme Heat,"New York, NY",37.95358285023863,-81.51130352450897,2024-09-02,"Extreme heat wave in New York, NY causing heat-related illnesses. Precautions advised."
83,Winter Storm,"Miami, FL",40.070801266543256,-67.49908313121554,2024-07-28,"Intense winter storm affecting Miami, FL. Heavy snowfall and travel disruptions."
84,Flood,"Los Angeles, CA",41.18329135381716,-121.92028088634667,2024-10-12,"Heavy flooding reported near Los Angeles, CA. Water level rising rapidly, roads impassable."
85,Winter Storm,"New York, NY",37.77954862142623,-84.75056104302999,2024-12-24,"Intense winter storm affecting New York, NY. Heavy snowfall and travel disruptions."
86,Winter Storm,"Miami, FL",42.31412961588956,-97.37890566323921,2024-01-13,"Intense winter storm affecting Miami, FL. Heavy snowfall and travel disruptions."
87,Hurricane,"Houston, TX",28.39067318261214,-90.82865993289138,2024-04-05,"Hurricane conditions intensifying at Houston, TX. Severe winds and rainfall recorded."
88,Flood,"Los Angeles, CA",30.087579781653723,-119.96486114742484,2024-08-08,"Heavy flooding reported near Los Angeles, CA. Water level rising rapidly, roads impassable."
89,Winter Storm,"Miami, FL",44.64964009778248,-122.46258983985057,2024-08-25,"Intense winter storm affecting Miami, FL. Heavy snowfall and travel disruptions."
90,Hurricane,"Houston, TX",32.74067146831396,-85.65486702749561,2024-04-03,"Hurricane conditions intensifying at Houston, TX. Severe winds and rainfall recorded."
91,Hurricane,"Houston, TX",25.549451799426887,-76.42474364057765,2024-12-03,"Hurricane conditions intensifying at Houston, TX. Severe winds and rainfall recorded."
92,Flood,"San Francisco, CA",28.690987592032748,-78.86109523895493,2024-09-25,"Heavy flooding reported near San Francisco, CA. Water level rising rapidly, roads impassable."
93,Tornado,"Los Angeles, CA",30.36674642791147,-92.915462055892,2024-06-19,"Tornado sighted near Los Angeles, CA. Extensive damage reported to homes and infrastructure."
94,Volcanic Eruption,"Houston, TX",47.97574930947009,-119.10785755296548,2024-04-03,"Volcanic eruption at Houston, TX causing ashfall and air quality issues."
95,Landslide,"San Francisco, CA",38.75299429434038,-84.40537781367519,2024-05-28,"Landslide has blocked major roads near San Francisco, CA. Emergency crews responding."
96,Volcanic Eruption,"Miami, FL",47.385537771430116,-110.72855587030539,2024-04-21,"Volcanic eruption at Miami, FL causing ashfall and air quality issues."
97,Extreme Heat,"Denver, CO",38.803920411918995,-71.24694653672437,2024-02-24,"Extreme heat wave in Denver, CO causing heat-related illnesses. Precautions advised."
98,Landslide,"Los Angeles, CA",36.50450656330844,-75.5423437868034,2024-12-02,"Landslide has blocked major roads near Los Angeles, CA. Emergency crews responding."
99,Extreme Heat,"New York, NY",32.52946458865831,-83.14640494184394,2024-04-25,"Extreme heat wave in New York, NY causing heat-related illnesses. Precautions advised."
100,Winter Storm,"New Orleans, LA",39.55290266640101,-69.0180886059633,2024-05-22,"Intense winter storm affecting New Orleans, LA. Heavy snowfall and travel disruptions."
101,Earthquake,"New Orleans, LA",28.340752590820717,-123.1461125308349,2024-07-19,"Earthquake felt strongly around New Orleans, LA. Significant structural damage observed."
102,Flood,"Miami, FL",46.55827905502494,-81.56417492141505,2024-06-28,"Heavy flooding reported near Miami, FL. Water level rising rapidly, roads impassable."
103,Landslide,"Anchorage, AK",44.90397772339081,-105.51567601915208,2024-07-20,"Landslide has blocked major roads near Anchorage, AK. Emergency crews responding."
104,Landslide,"Anchorage, AK",32.62075474904169,-71.54211274450445,2024-12-29,"Landslide has blocked major roads near Anchorage, AK. Emergency crews responding."
105,Winter Storm,"Miami, FL",47.86714066243106,-109.26616339694333,2024-02-22,"Intense winter storm affecting Miami, FL. Heavy snowfall and travel disruptions."
106,Tornado,"Houston, TX",44.804818417973635,-82.23346654041399,2024-06-28,"Tornado sighted near Houston, TX. Extensive damage reported to homes and infrastructure."
107,Hurricane,"Los Angeles, CA",40.99136526004095,-73.2188258406039,2024-11-08,"Hurricane conditions intensifying at Los Angeles, CA. Severe winds and rainfall recorded."
108,Winter Storm,"New Orleans, LA",27.922285867006593,-122.54224771542174,2024-11-03,"Intense winter storm affecting New Orleans, LA. Heavy snowfall and travel disruptions."
109,Severe Storm,"New Orleans, LA",36.47761655315374,-101.53879280406987,2024-05-16,"Severe storms hitting New Orleans, LA. Power outages and property damage widespread."
110,Hurricane,"Houston, TX",37.14658131632202,-80.02376711070562,2024-06-30,"Hurricane conditions intensifying at Houston, TX. Severe winds and rainfall recorded."
111,Flood,"New Orleans, LA",30.581232600769123,-98.15978551905236,2024-01-01,"Heavy flooding reported near New Orleans, LA. Water level rising rapidly, roads impassable."
112,Hurricane,"New York, NY",26.919169464623245,-109.23209484217787,2024-02-13,"Hurricane conditions intensifying at New York, NY. Severe winds and rainfall recorded."
113,Tornado,"Los Angeles, CA",43.64136713132062,-112.03148441943179,2024-08-14,"Tornado sighted near Los Angeles, CA. Extensive damage reported to homes and infrastructure."
114,Hurricane,"Portland, OR",27.92884125098548,-117.24042225193371,2024-11-26,"Hurricane conditions intensifying at Portland, OR. Severe winds and rainfall recorded."
115,Flood,"New Orleans, LA",39.262978013482595,-74.42935596847934,2024-04-07,"Heavy flooding reported near New Orleans, LA. Water level rising rapidly, roads impassable."
116,Tornado,"Miami, FL",47.474780173207854,-91.0540312081582,2024-07-26,"Tornado sighted near Miami, FL. Extensive damage reported to homes and infrastructure."
117,Volcanic Eruption,"New York, NY",46.02652462235302,-120.49328824550409,2024-09-21,"Volcanic eruption at New York, NY causing ashfall and air quality issues."
118,Landslide,"New Orleans, LA",31.666062969982267,-102.4277609093325,2024-10-14,"Landslide has blocked major roads near New Orleans, LA. Emergency crews responding."
119,Landslide,"New York, NY",45.434767301230366,-103.30371460249852,2024-09-27,"Landslide has blocked major roads near New York, NY. Emergency crews responding."
120,Extreme Heat,"San Francisco, CA",25.007980146891747,-114.27738774814168,2024-05-19,"Extreme heat wave in San Francisco, CA causing heat-related illnesses. Precautions advised."
121,Volcanic Eruption,"Portland, OR",25.424507430718172,-99.30505009714075,2024-08-24,"Volcanic eruption at Portland, OR causing ashfall and air quality issues."
122,Volcanic Eruption,"Seattle, WA",39.46127593222876,-105.40613744180496,2024-03-12,"Volcanic eruption at Seattle, WA causing ashfall and air quality issues."
123,Hurricane,"Miami, FL",33.7551572594687,-104.83358137596123,2024-06-03,"Hurricane conditions intensifying at Miami, FL. Severe winds and rainfall recorded."
124,Landslide,"Miami, FL",34.275060187819534,-81.39743309051045,2024-07-08,"Landslide has blocked major roads near Miami, FL. Emergency crews responding."
125,Flood,"Los Angeles, CA",38.546586176293175,-111.82746025519342,2024-09-24,"Heavy flooding reported near Los Angeles, CA. Water level rising rapidly, roads impassable."
126,Wildfire,"New York, NY",29.602778934204654,-87.13026242753403,2024-11-16,"Wildfire spreading quickly through New York, NY. Evacuations underway."
127,Wildfire,"Houston, TX",30.082128415971482,-91.33167219102484,2024-04-16,"Wildfire spreading quickly through Houston, TX. Evacuations underway."
128,Tornado,"Miami, FL",36.63043808845275,-91.48254177206583,2024-08-19,"Tornado sighted near Miami, FL. Extensive damage reported to homes and infrastructure."
129,Landslide,"New York, NY",43.10208506425271,-85.88256657763523,2024-02-11,"Landslide has blocked major roads near New York, NY. Emergency crews responding."
130,Landslide,"New York, NY",39.867946033782104,-92.64545986445643,2024-07-08,"Landslide has blocked major roads near New York, NY. Emergency crews responding."
131,Wildfire,"Denver, CO",32.136521157684136,-73.1239482240633,2024-05-18,"Wildfire spreading quickly through Denver, CO. Evacuations underway."
132,Landslide,"Denver, CO",35.328092260214106,-85.14077457493468,2024-04-12,"Landslide has blocked major roads near Denver, CO. Emergency crews responding."
133,Hurricane,"Seattle, WA",29.095954205199963,-92.7291681690881,2024-06-19,"Hurricane conditions intensifying at Seattle, WA. Severe winds and rainfall recorded."
134,Severe Storm,"San Francisco, CA",26.791115544089962,-76.04397590302895,2024-12-16,"Severe storms hitting San Francisco, CA. Power outages and property damage widespread."
135,Earthquake,"Seattle, WA",43.78470497785958,-89.2373526689247,2024-09-29,"Earthquake felt strongly around Seattle, WA. Significant structural damage observed."
136,Volcanic Eruption,"New Orleans, LA",31.36929782051667,-107.82248938067444,2024-08-08,"Volcanic eruption at New Orleans, LA causing ashfall and air quality issues."
137,Extreme Heat,"Houston, TX",29.266393308429958,-112.7813998275823,2024-07-31,"Extreme heat wave in Houston, TX causing heat-related illnesses. Precautions advised."
138,Tornado,"New Orleans, LA",41.59883333366366,-116.01266064590195,2024-12-06,"Tornado sighted near New Orleans, LA. Extensive damage reported to homes and infrastructure."
139,Severe Storm,"Anchorage, AK",39.83324018289247,-71.93214245978001,2024-02-25,"Severe storms hitting Anchorage, AK. Power outages and property damage widespread."
140,Wildfire,"New Orleans, LA",40.19655102432314,-83.10200952391412,2024-12-07,"Wildfire spreading quickly through New Orleans, LA. Evacuations underway."
141,Volcanic Eruption,"Los Angeles, CA",30.493470516318727,-69.69467214830507,2024-04-11,"Volcanic eruption at Los Angeles, CA causing ashfall and air quality issues."
142,Landslide,"New Orleans, LA",30.583492925504345,-89.40578346281836,2024-07-10,"Landslide has blocked major roads near New Orleans, LA. Emergency crews responding."
143,Extreme Heat,"Seattle, WA",30.29926311485534,-97.06934799180016,2024-11-05,"Extreme heat wave in Seattle, WA causing heat-related illnesses. Precautions advised."
144,Landslide,"Miami, FL",29.170062295895068,-121.47672715071754,2024-07-18,"Landslide has blocked major roads near Miami, FL. Emergency crews responding."
145,Flood,"Miami, FL",40.73736814147975,-85.37310538878424,2024-08-20,"Heavy flooding reported near Miami, FL. Water level rising rapidly, roads impassable."
146,Flood,"Denver, CO",45.35238124598563,-90.64968317367436,2024-08-14,"Heavy flooding reported near Denver, CO. Water level rising rapidly, roads impassable."
147,Extreme Heat,"Houston, TX",42.38361927223987,-66.57767527833033,2024-05-18,"Extreme heat wave in Houston, TX causing heat-related illnesses. Precautions advised."
148,Extreme Heat,"Houston, TX",44.01024721025304,-110.88963211084766,2024-12-09,"Extreme heat wave in Houston, TX causing heat-related illnesses. Precautions advised."
149,Wildfire,"Los Angeles, CA",34.715162298044795,-93.68649603807668,2024-10-31,"Wildfire spreading quickly through Los Angeles, CA. Evacuations underway."
150,Extreme Heat,"Seattle, WA",40.69781908892796,-86.5935172280337,2024-05-28,"Extreme heat wave in Seattle, WA causing heat-related illnesses. Precautions advised."
151,Hurricane,"Denver, CO",33.50166977067459,-86.96912069020172,2024-04-24,"Hurricane conditions intensifying at Denver, CO. Severe winds and rainfall recorded."
152,Landslide,"Anchorage, AK",37.61211092724736,-91.88368096604424,2024-03-03,"Landslide has blocked major roads near Anchorage, AK. Emergency crews responding."
153,Severe Storm,"Houston, TX",36.559236316836696,-79.16124739069369,2024-04-13,"Severe storms hitting Houston, TX. Power outages and property damage widespread."
154,Winter Storm,"Miami, FL",29.245291483452505,-112.90610863791784,2024-12-04,"Intense winter storm affecting Miami, FL. Heavy snowfall and travel disruptions."
155,Extreme Heat,"New Orleans, LA",34.289890248055144,-82.18799518380946,2024-12-24,"Extreme heat wave in New Orleans, LA causing heat-related illnesses. Precautions advised."
156,Tornado,"New Orleans, LA",48.13173461157642,-88.43566028544774,2024-06-04,"Tornado sighted near New Orleans, LA. Extensive damage reported to homes and infrastructure."
157,Flood,"Denver, CO",30.965926185158608,-72.13156840412017,2024-09-29,"Heavy flooding reported near Denver, CO. Water level rising rapidly, roads impassable."
158,Hurricane,"Seattle, WA",28.21128967070773,-75.01552809701869,2024-01-06,"Hurricane conditions intensifying at Seattle, WA. Severe winds and rainfall recorded."
159,Volcanic Eruption,"Seattle, WA",35.045934918974446,-106.40632469117935,2024-05-26,"Volcanic eruption at Seattle, WA causing ashfall and air quality issues."
160,Winter Storm,"San Francisco, CA",43.96810566064356,-108.70199782646597,2024-07-02,"Intense winter storm affecting San Francisco, CA. Heavy snowfall and travel disruptions."
161,Severe Storm,"Portland, OR",38.971557514719336,-67.08245389270559,2024-01-28,"Severe storms hitting Portland, OR. Power outages and property damage widespread."
162,Winter Storm,"Houston, TX",41.343395853717865,-93.89135432599986,2024-02-07,"Intense winter storm affecting Houston, TX. Heavy snowfall and travel disruptions."
163,Extreme Heat,"Seattle, WA",29.55267635619225,-71.52116312904823,2024-04-28,"Extreme heat wave in Seattle, WA causing heat-related illnesses. Precautions advised."
164,Wildfire,"Miami, FL",39.854756632185314,-115.33101959695155,2024-10-19,"Wildfire spreading quickly through Miami, FL. Evacuations underway."
165,Flood,"Denver, CO",32.76400947787537,-87.07368402678972,2024-08-31,"Heavy flooding reported near Denver, CO. Water level rising rapidly, roads impassable."
166,Flood,"Anchorage, AK",45.02328078291442,-77.2182489457254,2024-03-08,"Heavy flooding reported near Anchorage, AK. Water level rising rapidly, roads impassable."
167,Volcanic Eruption,"San Francisco, CA",40.10317134425767,-69.10368027439964,2024-08-01,"Volcanic eruption at San Francisco, CA causing ashfall and air quality issues."
168,Wildfire,"New York, NY",29.772550666607103,-105.0969316799956,2024-08-05,"Wildfire spreading quickly through New York, NY. Evacuations underway."
169,Landslide,"Los Angeles, CA",26.55080031625807,-82.2261109744809,2024-06-25,"Landslide has blocked major roads near Los Angeles, CA. Emergency crews responding."
170,Earthquake,"Anchorage, AK",26.023197022888787,-93.21003246666248,2024-10-25,"Earthquake felt strongly around Anchorage, AK. Significant structural damage observed."
171,Hurricane,"New York, NY",33.91380562360338,-121.42289336207838,2024-06-12,"Hurricane conditions intensifying at New York, NY. Severe winds and rainfall recorded."
172,Flood,"New Orleans, LA",31.380427279703525,-84.29001549877233,2024-02-27,"Heavy flooding reported near New Orleans, LA. Water level rising rapidly, roads impassable."
173,Tornado,"Los Angeles, CA",40.506162963100195,-84.28430306396723,2024-09-25,"Tornado sighted near Los Angeles, CA. Extensive damage reported to homes and infrastructure."
174,Flood,"Houston, TX",36.98401203948684,-70.09419851405431,2024-11-03,"Heavy flooding reported near Houston, TX. Water level rising rapidly, roads impassable."
175,Winter Storm,"Miami, FL",31.38446267212914,-95.65856567603063,2024-02-27,"Intense winter storm affecting Miami, FL. Heavy snowfall and travel disruptions."
176,Flood,"Los Angeles, CA",28.581706670804227,-111.41519567807964,2024-10-14,"Heavy flooding reported near Los Angeles, CA. Water level rising rapidly, roads impassable."
177,Flood,"Portland, OR",28.05279430449879,-122.37073441652792,2024-04-14,"Heavy flooding reported near Portland, OR. Water level rising rapidly, roads impassable."
178,Earthquake,"New York, NY",45.751849411370024,-100.47711098553157,2024-08-15,"Earthquake felt strongly around New York, NY. Significant structural damage observed."
179,Earthquake,"Houston, TX",30.843471241716813,-107.18691469542739,2024-09-03,"Earthquake felt strongly around Houston, TX. Significant structural damage observed."
180,Severe Storm,"Portland, OR",40.64105554986324,-80.09578994459135,2024-07-06,"Severe storms hitting Portland, OR. Power outages and property damage widespread."
181,Landslide,"New Orleans, LA",44.45646227167039,-104.09820187437825,2024-03-23,"Landslide has blocked major roads near New Orleans, LA. Emergency crews responding."
182,Tornado,"Portland, OR",39.737951468433664,-69.00479941742421,2024-07-04,"Tornado sighted near Portland, OR. Extensive damage reported to homes and infrastructure."
183,Flood,"San Francisco, CA",45.6295655595267,-68.22369802372073,2024-09-08,"Heavy flooding reported near San Francisco, CA. Water level rising rapidly, roads impassable."
184,Flood,"San Francisco, CA",34.41744931668339,-88.36639317715523,2024-12-20,"Heavy flooding reported near San Francisco, CA. Water level rising rapidly, roads impassable."
185,Hurricane,"Denver, CO",47.94933257557476,-70.20904306612191,2024-08-25,"Hurricane conditions intensifying at Denver, CO. Severe winds and rainfall recorded."
186,Earthquake,"Anchorage, AK",28.195480100274327,-80.10959367364475,2024-12-25,"Earthquake felt strongly around Anchorage, AK. Significant structural damage observed."
